round,acc,loss,Fw_norm
0,15.64,361.41490173339844,0.1355433166027069
1,20.38,341.39578008651733,0.3653887212276459
2,29.1,312.32228100299835,0.9323500394821167
3,33.61,299.16409718990326,1.7451646327972412
4,36.73,288.18860721588135,2.5981619358062744
5,39.7,274.33486461639404,3.217383623123169
6,41.53,264.53403890132904,3.2974798679351807
7,43.01,257.99085330963135,3.3775298595428467
8,44.14,251.10428619384766,3.435262680053711
9,45.1,246.07382464408875,3.376923084259033
10,46.01,244.13152194023132,3.2942593097686768
11,46.83,239.41380381584167,3.559903383255005
12,46.96,239.91172540187836,3.5338375568389893
13,48.05,238.27888441085815,3.5618200302124023
14,48.94,235.7848289012909,3.697054147720337
15,49.74,233.58983397483826,3.6897518634796143
16,49.98,232.99905890226364,3.629913568496704
17,50.32,234.66977298259735,3.705803155899048
18,50.72,233.82572847604752,3.8592417240142822
19,50.99,232.11496073007584,3.9145407676696777
20,51.51,232.140726685524,3.804023265838623
21,51.78,234.03236335515976,3.9730160236358643
22,52.08,234.74299949407578,4.058219909667969
23,52.25,233.79666829109192,4.157918453216553
24,52.46,232.98488914966583,4.089601993560791
25,52.73,234.33703571558,4.139301776885986
26,52.67,238.72572875022888,4.163321018218994
27,53.47,235.2154958844185,4.449263095855713
28,53.33,237.96276712417603,4.374765396118164
29,53.64,238.57641273736954,4.525454044342041
30,53.93,239.1662404537201,4.517422199249268
31,54.58,234.68449229002,4.583695888519287
32,54.43,238.56924498081207,4.505149841308594
33,55.03,238.13953626155853,4.648177623748779
34,54.79,242.86156004667282,4.597578525543213
35,55.15,242.50981384515762,4.766777992248535
36,55.4,241.68989050388336,4.761030197143555
37,55.66,241.10845881700516,4.721726417541504
38,55.51,248.12210845947266,4.692628860473633
39,55.75,247.69768637418747,4.954510688781738
40,56.05,244.54315996170044,4.961731433868408
41,56.06,248.72017711400986,4.8981523513793945
42,56.75,247.55979120731354,4.966947555541992
43,56.37,246.58943849802017,4.990016460418701
