round,acc,loss,Fw_norm
0,19.0,345.3529770374298,0.039690740406513214
1,37.48,268.98462200164795,0.5771610736846924
2,50.47,216.4531593322754,0.9578960537910461
3,56.41,190.00737071037292,1.3005194664001465
4,60.7,170.30473744869232,1.4710688591003418
5,64.88,153.60030090808868,1.6750173568725586
6,68.36,140.78227373957634,1.8266626596450806
7,71.44,130.32628506422043,1.8903268575668335
8,73.33,124.26469525694847,1.7912102937698364
9,75.1,118.7775966823101,1.8640071153640747
10,76.44,115.01168665289879,1.7204252481460571
11,77.72,108.61091616749763,1.7302888631820679
12,78.04,108.91135175526142,1.4486260414123535
13,78.49,106.3574587404728,1.6857693195343018
14,79.37,104.53973741829395,1.4906022548675537
15,79.91,103.25661480426788,1.4871622323989868
16,80.44,102.66830916702747,1.3025611639022827
17,80.68,102.57203301787376,1.3914059400558472
18,80.88,102.82448759675026,1.2961002588272095
19,81.57,101.14759781956673,1.3496322631835938
20,81.63,100.10118660330772,1.2840934991836548
21,81.92,101.4406867325306,1.2574043273925781
22,82.29,100.99973824620247,1.2623584270477295
23,82.47,100.23596273362637,1.1427279710769653
24,82.64,101.13301642239094,1.1226778030395508
25,83.02,100.47871269285679,1.1393325328826904
26,83.11,101.76125094294548,1.0942308902740479
27,83.15,102.0179675668478,1.1485090255737305
28,83.29,102.04210968315601,1.01531183719635
29,83.44,101.65873165428638,1.026500940322876
30,83.5,103.13126339018345,0.9555031657218933
31,83.56,103.1981779485941,1.12270987033844
32,83.68,104.66588445007801,0.9759312868118286
33,83.9,104.20756363123655,0.994300901889801
34,84.05,103.12936453521252,1.0116357803344727
35,84.14,103.90656353533268,0.8601825833320618
36,84.14,104.07588777691126,0.8584874272346497
37,84.29,104.52328969538212,0.8532988429069519
38,84.37,104.84417389333248,0.8275963068008423
39,84.33,105.54416459798813,0.7816441059112549
40,84.48,105.92864053696394,0.8091655969619751
41,84.63,105.9478150010109,0.8191943168640137
42,84.97,105.93851062655449,0.9033710956573486
43,84.64,106.50744874030352,0.8174023628234863
44,84.34,101.95823186635971,0.799877405166626
