round,acc,loss,Fw_norm
0,10.0,364.5995635986328,0.13808105885982513
1,14.66,368.3133363723755,0.7415066361427307
2,16.47,361.4905867576599,1.3688148260116577
3,16.76,354.587047457695,1.5642449855804443
4,17.68,345.8559194803238,2.398118019104004
5,20.34,345.3588740825653,2.473828077316284
6,21.26,329.8295043706894,3.2112507820129395
7,22.27,325.2324107885361,2.2660865783691406
8,24.04,316.8133752346039,2.7724292278289795
9,25.03,314.9272121191025,2.4472997188568115
10,26.19,310.22932612895966,2.6831576824188232
11,28.75,306.95349311828613,2.6055819988250732
12,29.99,302.10523426532745,3.10797381401062
13,30.54,303.57100665569305,2.1874682903289795
14,30.71,298.9405610561371,3.146709442138672
15,32.15,296.6030831336975,3.1652095317840576
16,32.93,293.05547869205475,3.2666702270507812
17,34.34,284.4389399290085,3.900167942047119
18,34.46,284.317156791687,3.2115588188171387
19,35.16,282.1417752504349,3.455596446990967
20,34.29,281.1368808746338,3.1445677280426025
21,35.93,274.67392206192017,2.5214264392852783
22,35.78,274.4323363304138,3.5357725620269775
23,36.89,269.8145251274109,3.4367125034332275
24,37.0,264.61946177482605,3.3105051517486572
25,37.46,264.57260608673096,2.5280516147613525
26,37.78,264.45991110801697,3.090244770050049
27,38.25,261.8474258184433,3.1438729763031006
28,38.64,257.40431904792786,2.996223211288452
29,38.41,261.34705102443695,2.5920727252960205
30,38.31,257.5258289575577,2.6903088092803955
31,39.02,255.02136611938477,2.5686287879943848
32,38.9,254.07910776138306,2.4565629959106445
33,38.0,250.72460007667542,2.6461069583892822
34,38.92,255.49988496303558,3.5307295322418213
35,39.9,251.32410526275635,3.8662092685699463
36,40.0,245.4897952079773,3.4042611122131348
37,40.93,246.3490264415741,3.1495749950408936
38,41.23,242.65721726417542,2.3546111583709717
39,41.02,239.23009371757507,2.552908182144165
40,40.9,240.90635740756989,2.7832558155059814
41,41.73,237.55166220664978,2.766294002532959
42,42.14,236.13753354549408,2.6747848987579346
43,42.83,233.5424097776413,2.7639153003692627
44,42.77,236.42683792114258,2.8894202709198
45,43.91,230.8706192970276,3.0162911415100098
46,44.74,231.60697555541992,2.6959409713745117
47,45.06,228.31059968471527,2.5634918212890625
