round,acc,loss,Fw_norm
0,16.91,355.2847378253937,0.08042534440755844
1,26.54,293.3721491098404,0.5888141393661499
2,40.2,258.34017539024353,1.4377985000610352
3,48.79,227.00486779212952,2.012399911880493
4,52.87,209.9092344045639,1.7625277042388916
5,56.02,196.78251373767853,1.9386011362075806
6,58.47,183.86900174617767,1.9343981742858887
7,60.48,175.45139282941818,1.7853870391845703
8,62.86,164.53389394283295,2.0170536041259766
9,64.73,157.79088431596756,1.8526571989059448
10,66.55,150.33582055568695,1.7986738681793213
11,68.12,145.24801057577133,1.8021609783172607
12,69.49,141.04548797011375,1.7549399137496948
13,71.37,133.25462451577187,1.8300774097442627
14,72.67,130.81829166412354,1.58584725856781
15,73.94,126.82686361670494,1.6335978507995605
16,74.85,123.82577577233315,1.5352134704589844
17,75.4,123.78307941555977,1.483414888381958
18,75.99,123.44793367385864,1.6974505186080933
19,76.64,121.32770591974258,1.6752276420593262
20,77.35,118.02742999792099,1.565284252166748
21,77.89,119.20223043859005,1.4414511919021606
22,78.39,118.70610830187798,1.463443636894226
23,78.76,118.46719391644001,1.6190754175186157
24,79.0,118.13957968354225,1.6474677324295044
25,79.46,116.61237606406212,1.532468557357788
26,79.75,116.40150003135204,1.4828051328659058
27,79.84,116.19731636345387,1.4285746812820435
28,79.91,117.87681785225868,1.391366958618164
29,80.59,115.61980378627777,1.4521301984786987
30,80.84,116.20024064183235,1.3954789638519287
31,80.82,117.98708575963974,1.3577497005462646
32,80.81,118.53257489204407,1.4860401153564453
33,80.99,117.1511350274086,1.4748402833938599
34,81.12,115.3195308893919,1.4426093101501465
35,81.12,117.3961869776249,1.320953607559204
36,81.26,116.5337860584259,1.402255654335022
37,81.42,116.81680881977081,1.319883108139038
38,81.45,119.30680006742477,1.3671716451644897
39,81.6,119.61924488842487,1.4223759174346924
40,81.8,118.75846104323864,1.492461085319519
41,81.81,119.14893598854542,1.3749632835388184
42,81.91,117.99843865633011,1.334435224533081
43,81.88,119.11647395789623,1.329809546470642
44,81.97,119.95887719094753,1.3488949537277222
45,82.21,117.85687716305256,1.3563990592956543
46,82.11,119.9395258128643,1.2973071336746216
47,82.1,120.43876115977764,1.3056076765060425
48,82.25,119.95094536244869,1.3870218992233276
49,82.35,120.10266508162022,1.3530634641647339
50,82.3,119.42109183967113,1.310657262802124
51,82.67,117.98375934362411,1.3185820579528809
52,82.55,120.59133882820606,1.1811326742172241
53,82.63,119.75677180290222,1.3306013345718384
54,82.69,120.21080541610718,1.2265177965164185
55,82.63,119.93828678131104,1.3948370218276978
56,82.74,122.14655557274818,1.3490616083145142
57,82.89,121.89470970630646,1.361387848854065
58,83.1,119.72132910788059,1.3420491218566895
59,82.81,123.0015788525343,1.227603793144226
60,82.95,122.95255842804909,1.3313300609588623
61,83.27,120.82757161557674,1.3165924549102783
62,83.07,122.43927791714668,1.189903736114502
63,83.2,121.61350481212139,1.273664116859436
64,83.11,124.30754014849663,1.2416023015975952
65,83.22,123.33555500209332,1.3100972175598145
66,83.5,121.41341416537762,1.3485314846038818
67,83.21,123.72431108355522,1.2417471408843994
68,83.41,122.92158937454224,1.2862027883529663
69,83.67,126.01754155755043,1.2792844772338867
70,83.72,122.40188743174076,1.3806809186935425
71,83.5,122.24604162573814,1.2238783836364746
72,83.3,124.77607668936253,1.1944442987442017
73,83.56,125.25681400299072,1.2945979833602905
74,83.66,123.58841483294964,1.3039010763168335
75,83.54,124.06270623207092,1.2898977994918823
76,83.78,123.1657372713089,1.2360548973083496
77,83.79,126.29522010684013,1.206284761428833
78,83.54,124.15528778731823,1.2969530820846558
79,83.96,124.08755841851234,1.2736051082611084
80,83.67,125.22371226549149,1.204221487045288
81,83.61,125.7335159778595,1.334241509437561
82,83.9,123.82286156713963,1.3094083070755005
83,84.05,123.73448520898819,1.2536348104476929
84,84.07,125.34238277375698,1.2359178066253662
85,84.02,123.21543237566948,1.2534730434417725
86,84.08,126.97199691832066,1.2165818214416504
87,84.24,121.11400221288204,1.2599263191223145
88,84.06,123.36869503557682,1.134218692779541
89,84.24,124.12840935587883,1.271392583847046
90,84.32,123.02053436636925,1.2017874717712402
91,84.08,125.4268348813057,1.2098616361618042
92,84.18,121.78296652436256,1.2690099477767944
93,84.18,128.96233448386192,1.1610990762710571
94,84.28,121.36655984818935,1.2837823629379272
95,84.09,126.45158872008324,1.1768842935562134
96,83.89,127.92827463150024,1.2231131792068481
97,84.27,124.9437198638916,1.2803841829299927
98,84.1,126.09411212801933,1.1920782327651978
99,84.34,124.643605530262,1.2559622526168823
100,84.48,124.9144207984209,1.1666789054870605
101,84.34,124.03813947737217,1.1528724431991577
102,84.15,128.3972566127777,1.1652257442474365
103,84.13,124.04408790171146,1.2158252000808716
